typo_type,location,severity,typo_difficulty,score,score_sem,absolute_drop,drop_sem,score_std,n,requested_n,mean_actual_severity,severity_completion_rate
deletion,any,1,hard,0.8142423401761637,0.023779156885378752,0.0517046168485797,0.018141325061840664,0.336288061691002,200,200,1.0,1.0
deletion,any,2,hard,0.7137143326345938,0.028636347908662027,0.15223262439014953,0.024471394726241595,0.40497911589264257,200,200,2.0,1.0
deletion,any,3,hard,0.6661861009348559,0.030167812332974143,0.19976085608988758,0.029487081795810863,0.4266372934841835,200,200,2.975,0.975
keyboard,any,1,hard,0.7823176680740722,0.02539435628744071,0.08362928895067116,0.0218739106930313,0.3591304306943313,200,200,1.0,1.0
keyboard,any,2,hard,0.6587181208765307,0.03062722386889251,0.20722883614821272,0.027894832548133065,0.4331343537322476,200,200,2.0,1.0
keyboard,any,3,hard,0.6237878158874022,0.030704971172607613,0.24215914113734122,0.029258758803128917,0.434233866645766,200,200,2.975,0.975
transposition,any,1,hard,0.8534967524305759,0.020750842969937663,0.012450204594167442,0.014938646632804047,0.2934612355876024,200,200,1.0,1.0
transposition,any,2,hard,0.7683902796729997,0.026204147798448235,0.09755667735174377,0.0209456437506701,0.37058261206994575,200,200,2.0,1.0
transposition,any,3,hard,0.7004179321890421,0.02890761844285529,0.16552902483570114,0.0277593425962412,0.4088154605779256,200,200,2.975,0.975
