model_label,severity,mean,ci_2.5,ci_97.5,n
Llama-3.2-3B-Instruct,1,0.049261370131139424,0.020518966480955893,0.08105448106739552,200
Llama-3.2-3B-Instruct,2,0.15233937929670197,0.11402614738694024,0.19438500092321398,200
Llama-3.2-3B-Instruct,3,0.20248300735431,0.15470244928591204,0.24931573760788092,200
Qwen3-4B,1,0.036741168873561075,0.013279448560625932,0.06143279629402747,200
Qwen3-4B,2,0.07988866489356684,0.04776232643083133,0.11356577876099934,200
Qwen3-4B,3,0.12764751594983906,0.08723646069285455,0.16823091327413311,200
