model_a,model_b,gap_definition,typo_type,location,severity,mean_gap,gap_ci_2.5,gap_ci_97.5,n_examples
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,deletion,any,1,-0.020006967275930126,-0.05896739104119135,0.016849045247622967,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,deletion,any,2,-0.06393104688268968,-0.11730934750712638,-0.01137150001135152,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,deletion,any,3,-0.09008512938219156,-0.1513434700627703,-0.027164623073073955,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,keyboard,any,1,-0.038765294194934574,-0.08657778151326743,0.00913607386640769,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,keyboard,any,2,-0.12276381206554156,-0.18353030946976226,-0.0651231975120586,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,keyboard,any,3,-0.056992342522013184,-0.11573273589014359,0.0009345110227995046,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,transposition,any,1,0.021211657698129632,-0.014726548990935177,0.05763831749783173,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,transposition,any,2,-0.030657284261174204,-0.08056310414364257,0.020206476407579287,200
Qwen3-4B,Llama-3.2-3B-Instruct,drop_model_a_minus_drop_model_b,transposition,any,3,-0.07742900230920804,-0.13635643238534603,-0.01954131863533423,200
