model_label,typo_type,mean,ci_2.5,ci_97.5,n
Llama-3.2-3B-Instruct,deletion,0.1997608560898876,0.1413467806032136,0.2579330485355997,200
Llama-3.2-3B-Instruct,keyboard,0.24215914113734122,0.1859327669308428,0.30008212904235715,200
Llama-3.2-3B-Instruct,transposition,0.16552902483570114,0.11159858286940239,0.22043493724371263,200
Qwen3-4B,deletion,0.10967572670769603,0.06247080028879902,0.15792323317666984,200
Qwen3-4B,keyboard,0.18516679861532803,0.13269972913116296,0.2430329223132532,200
Qwen3-4B,transposition,0.08810002252649313,0.044623913178324946,0.13257425715624244,200
