typo_type,location,severity,typo_difficulty,score,score_sem,absolute_drop,drop_sem,score_std,n,requested_n,mean_actual_severity,severity_completion_rate
deletion,any,1,hard,0.8430407596216419,0.021747975070727375,0.031697649572649575,0.014919599430319322,0.3075628129917462,200,200,1.0,1.0
deletion,any,2,hard,0.7864368316868316,0.02545666293656605,0.08830157750745986,0.022264137329988314,0.36001157977652204,200,200,2.0,1.0
deletion,any,3,hard,0.7650626824865955,0.026259198449888853,0.10967572670769603,0.024034810911106538,0.3713611458487937,200,200,2.975,0.975
keyboard,any,1,hard,0.829874414438555,0.022858744293559108,0.04486399475573658,0.016829714716265976,0.32327146198769885,200,200,1.0,1.0
keyboard,any,2,hard,0.7902733851116204,0.02551167459209606,0.08446502408267115,0.022153263742804654,0.3607895620699135,200,200,2.0,1.0
keyboard,any,3,hard,0.6895716105789635,0.029565623930823192,0.18516679861532803,0.028128080399115348,0.41812106342992694,200,200,2.975,0.975
transposition,any,1,hard,0.8410765469019945,0.022354627943333132,0.033661862292297076,0.013205999604275653,0.3161421801926628,200,200,1.0,1.0
transposition,any,2,hard,0.807839016103722,0.024116553844695104,0.06689939309056957,0.018626281799789195,0.34105957524868824,200,200,2.0,1.0
transposition,any,3,hard,0.7866383866677984,0.025438114984758998,0.08810002252649313,0.022814110612773376,0.3597492721265243,200,200,2.975,0.975
