model_label,typo_type,mean,ci_2.5,ci_97.5,n
Llama-3.2-3B-Instruct,deletion,0.017801146359006603,-0.0023721509268366386,0.03834838657682906,200
Llama-3.2-3B-Instruct,keyboard,0.021471902702209552,0.001164777221761737,0.040939079112175474,200
Llama-3.2-3B-Instruct,transposition,0.013825011066932031,-0.004413116276298002,0.032587713256510865,200
Qwen3-4B,deletion,0.011619325832001665,-0.00041851628600749326,0.024603359378836925,200
Qwen3-4B,keyboard,0.01688609901749288,0.004030497327516189,0.031349181946836197,200
Qwen3-4B,transposition,0.009434283924801718,0.0008429666110052136,0.018522972765624365,200
